url,alexa,class,id,quote,quoteDoc,quoteText,title,source,binding,score,point,case
https://www.spotify.com,121.0,,12755,,Terms and Conditions of Use,"YOU UNDERSTAND AND AGREE THAT THE SPOTIFY SERVICE IS PROVIDED AS IS AND AS AVAILABLE, WITHOUT EXPRESS OR IMPLIED WARRANTY OR CONDITION OF ANY KIND.",The service is provided 'as is' and to be used at the users' sole risk,https://www.spotify.com/us/legal/end-user-agreement/,True,20.0,bad,The service is provided 'as is' and to be used at the users' sole risk
https://www.spotify.com,121.0,,12758,,Terms and Conditions of Use,"IN ADDITION, SPOTIFY MAKES NO REPRESENTATION NOR DOES IT WARRANT, ENDORSE, GUARANTEE, OR ASSUME RESPONSIBILITY FOR ANY THIRD PARTY APPLICATIONS (OR THE CONTENT THEREOF), USER CONTENT, DEVICES OR ANY OTHER PRODUCT OR SERVICE ADVERTISED, PROMOTED OR OFFERED BY A THIRD PARTY ON OR THROUGH THE SPOTIFY SERVICE OR ANY HYPERLINKED WEBSITE, OR FEATURED IN ANY BANNER OR OTHER ADVERTISING AND SPOTIFY IS NOT RESPONSIBLE OR LIABLE FOR ANY TRANSACTION BETWEEN YOU AND THIRD PARTY PROVIDERS OF THE FOREGOING.",The service is not responsible for linked or (clearly) quoted content from third-party content providers,https://www.spotify.com/us/legal/end-user-agreement/,True,50.0,neutral,The service is not responsible for linked or (clearly) quoted content from third-party content providers
https://www.spotify.com,121.0,,12761,,Terms and Conditions of Use,"OR (3) AGGREGATE LIABILITY FOR ALL CLAIMS RELATING TO THE SPOTIFY SERVICE, THIRD PARTY APPLICATIONS, OR THIRD PARTY APPLICATION CONTENT MORE THAN THE AMOUNTS PAID BY YOU TO SPOTIFY DURING THE PRIOR TWELVE MONTHS IN QUESTION.",Any liability on behalf of the service is only limited to the fees you paid as a user,https://www.spotify.com/us/legal/end-user-agreement/,True,10.0,bad,Any liability on behalf of the service is only limited to the fees you paid as a user
https://www.spotify.com,121.0,,12762,,Terms and Conditions of Use,"Unless as otherwise stated in the Agreements, should any provision of the Agreements be held invalid or unenforceable for any reason or to any extent, such invalidity or enforceability shall not in any manner affect or render invalid or unenforceable the remaining provisions of the Agreements, and the application of that provision shall be enforced to the extent permitted by law.",Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,https://www.spotify.com/us/legal/end-user-agreement/,True,10.0,neutral,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder
https://www.spotify.com,121.0,,12768,,Terms and Conditions of Use,Class Action Waiver YOU AND SPOTIFY AGREE THAT EACH MAY BRING CLAIMS AGAINST THE OTHER ONLY IN YOUR OR ITS INDIVIDUAL CAPACITY AND NOT AS A PLAINTIFF OR CLASS MEMBER IN ANY PURPORTED CLASS OR REPRESENTATIVE ACTION.,You waive your right to a class action.,https://www.spotify.com/us/legal/end-user-agreement/,True,50.0,bad,You waive your right to a class action.
https://www.linkedin.com,33.0,,1127,,Privacy Policy,"You give other data to us, such as by syncing your address book or calendar.",The service provides details about what kinds of personal information they collect,,True,30.0,good,The service provides details about what kinds of personal information they collect
https://www.linkedin.com,33.0,,5880,,Terms of Service,"We may modify this Contract, our Privacy Policy and our Cookies Policy from time to time.If we make material changes to it, we will provide you notice through our Services, or by other means, to provide you the opportunity to review the changes before they become effective.We agree that changes cannot be retroactive.If you object to any changes, you may close your account.Your continued use of our Services after we publish or send a notice about our changes to these terms means that you are consenting to the updated terms","The service may change its terms at any time, but the user will receive notification of the changes.",,True,,neutral,"The service may change its terms at any time, but the user will receive notification of the changes."
https://www.linkedin.com,33.0,,5882,,Terms of Service,Use your real name on your profile,"Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",,True,10.0,neutral,"Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service."
https://www.linkedin.com,33.0,,5883,,Terms of Service,"Develop, support or use software, devices, scripts, robots or any other means or processes (including crawlers, browser plugins and add-ons or any other technology) to scrape the Services or otherwise copy profiles and other data from the Services",no spidering or crawling,,True,10.0,neutral,Spidering or crawling is not allowed
https://www.linkedin.com,33.0,,5888,,Privacy Policy,"You can ask us to erase or delete all or some of your personal data (e.g., if it is no longer necessary to provide Services to you).",You can delete your content from this service,,True,50.0,good,You can delete your content from this service
https://www.linkedin.com,33.0,,5889,,Privacy Policy,Members may go to their settings to make requests.us for a copy of your personal data and can ask for a copy of personal data you provided in machine readable form.,This service provides a way for you to export your data,,True,30.0,good,This service provides a way for you to export your data
https://www.linkedin.com,33.0,,5891,,Do Not Track Policy,"With regard to DNT, LinkedIn currently doesn't respond to DNT signals in browsers because no DNT standard has been adopted, as noted above.",This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,,True,60.0,bad,This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.
https://www.linkedin.com,33.0,,5893,,Privacy Policy,>We keep some of your data even after you close your account.,This service holds onto content that you've deleted,,True,30.0,blocker,This service holds onto content that you've deleted
https://www.linkedin.com,33.0,,5894,,Privacy Policy,"We can also share your personal data as part of a sale, merger or change in control, or in preparation for any of these events.",The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,,True,50.0,bad,The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.
https://www.linkedin.com,33.0,,5918,,Terms of Service,"A worldwide, transferable and sublicensable right to use, copy, modify, distribute, publish and process, information and content that you provide through our Services and the services of others, without any further consent, notice and/or compensation to you or others",This service can use your content for all their existing and future services,,True,50.0,bad,This service can use your content for all their existing and future services
https://www.dashlane.com,8383.0,,6731,,Terms of Service,"Arbitration.Subject to Section 10(f), any dispute arising out of these Terms, thePrivacy Policy, or the Services will be resolved exclusively on an individual basis by binding and confidential arbitration conducted in the English language, in New York, New York, before a single commercial arbitrator from JAMS, Inc.(JAMS) applying the then-current version of the Streamlined Arbitration Rules and procedures availablehere or, if the amount of damages claimed or sought exceeds $250,000, the most current version of the Comprehensive Arbitration Rules and Procedures",This service forces users into binding arbitration in the case of disputes,https://www.dashlane.com/terms,True,50.0,bad,This service forces users into binding arbitration in the case of disputes
https://www.dashlane.com,8383.0,,6732,,Terms of Service,"Waiver of Class Action.ANY CLAIMS WITHIN THE SCOPE OF THIS ARBITRATION AGREEMENT MUST BE BROUGHT IN THE RESPECTIVE PARTYS INDIVIDUAL CAPACITY AND NOT AS A PLAINTIFF OR MEMBER IN ANY PURPORTED CLASS OR REPRESENTATIVE PROCEEDING, AND THE ARBITRATOR MAY NOT (i) CONSOLIDATE MORE THAN ONE PERSONS CLAIMS, (ii) OTHERWISE PRESIDE OVER ANY FORM OF A REPRESENTATIVE OR CLASS PROCEEDING, OR (iii) AWARD CLASS-WIDE RELIEF.",You waive your right to a class action.,https://www.dashlane.com/terms,True,50.0,bad,You waive your right to a class action.
https://www.chase.com,130.0,,9515,,Terms of Use,"BECAUSE OF THE POSSIBILITY OF HUMAN AND MECHANICAL ERROR AS WELL AS OTHER FACTORS, THE WEBSITE (INCLUDING ALL INFORMATION AND MATERIALS CONTAINED ON THE WEBSITE) IS PROVIDED ""AS IS"" ""AS AVAILABLE"".JPMORGAN CHASE AND THIRD PARTY DATA PROVIDERS ARE NOT PROVIDING ANY WARRANTIES AND REPRESENTATIONS REGARDING THE WEBSITE.",The service is provided 'as is' and to be used at the users' sole risk,https://www.chase.com/resources/terms-conditions,True,20.0,bad,The service is provided 'as is' and to be used at the users' sole risk
https://www.dropbox.com,97.0,,679,,Terms,"We may revise these Terms from time to time to better reflect:(a) changes to the law,(b) new regulatory requirements, or(c) improvements or enhancements made to our Services.If an update affects your use of the Services or your legal rights as a user of our Services, well notify you prior to the update's effective date by sending an email to the email address associated with your account or via an in-product notification.These updated terms will be effective no less than 30 days from when we notify you.If you dont agree to the updates we make, please cancel your account before they become effective.","When the service wants to change its terms, users are notified a month or more in advance",https://www.dropbox.com/privacy,True,40.0,good,"When the service wants to make a material change to its terms, users are notified at least 30 days in advance"
https://www.dropbox.com,97.0,,762,,Privacy Policy,"We may revise this Privacy Policy from time to time, and will post the most current version on our website.If a revision meaningfully reduces your rights, we will notify you.",Dropbox will notify of changes on the terms,https://www.dropbox.com/privacy,True,,neutral,"The service may change its terms at any time, but the user will receive notification of the changes."
https://www.dropbox.com,97.0,,1587,,Terms,Refunds are only issued if required by law.,no refund policy,https://www.dropbox.com/privacy,True,50.0,neutral,The service has a no refund policy
https://www.dropbox.com,97.0,,1602,,Terms,These Terms dont give us any rights to Your Stuff except for the limited rights that enable us to offer the Services.,You maintain ownership of your data,https://www.dropbox.com/privacy,True,50.0,good,You maintain ownership of your data
https://www.dropbox.com,97.0,,6887,,Terms,"We collect and use the personal data described above in order to provide you with the Services in a reliable and secure manner.We also collect and use personal data for our legitimate business needs.To the extent we process your personal data for other purposes, we ask for your consent in advance or require that our partners obtain such consent.For more information on the lawful bases for processing your data, please see our FAQ.</p",The service provides information about how they intend to use your personal data,https://www.dropbox.com/privacy,True,30.0,good,The service provides information about how they intend to use your personal data
https://www.dropbox.com,97.0,,6945,,Terms,"We may share information as discussed below, but we wont sell it to advertisers or other third parties.",This service does not sell your personal data,https://www.dropbox.com/privacy,True,25.0,good,This service does not sell your personal data
https://www.dropbox.com,97.0,,7770,,Terms,"Where Around the world. To provide you with the Services, we may store, process, and transmit data in the United States and locations around the worldincluding those outside your country",Your data may be processed and stored anywhere in the world,https://www.dropbox.com/privacy,True,25.0,bad,Your data may be processed and stored anywhere in the world
https://www.dropbox.com,97.0,,7771,,Terms,"p> If were involved in a reorganization, merger, acquisition, or sale of our assets, your data may be transferred as part of that deal",The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,https://www.dropbox.com/privacy,True,50.0,bad,The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.
https://www.dropbox.com,97.0,,11244,,Privacy Policy FAQ,"Trusted third parties include:Dropbox, Inc.Amazon Web Services, Inc.Teleperformance A.E.Salesforce.com, LLCSerenova, LLC (formerly LiveOps Cloud Platform, LLC)Google LLCZendesk, Inc.Oracle America, Inc.",Many third parties are involved in operating the service,,True,50.0,bad,Many third parties are involved in operating the service
https://www.dropbox.com,97.0,,11245,,Privacy Policy,We may also use third-party service providers that set cookies and similar technologies to promote Dropbox services.,Tracking via third-party cookies for other purposes without your consent.,https://www.dropbox.com/privacy,True,70.0,bad,Tracking via third-party cookies for other purposes without your consent.
https://www.dropbox.com,97.0,,11689,,Privacy Policy,"THE SERVICES ARE PROVIDED ""AS IS."" ",The service is provided 'as is' and to be used at the users' sole risk,https://www.dropbox.com/privacy,True,20.0,bad,The service is provided 'as is' and to be used at the users' sole risk
https://www.dropbox.com,97.0,,11690,,Privacy Policy,"You can access, amend, download, and delete your personal information by logging into your Dropbox account and going to your account settings page.",You can request access and deletion of personal data,https://www.dropbox.com/privacy,True,50.0,good,You can request access and deletion of personal data
https://www.dropbox.com,97.0,,11691,,Privacy Policy,"We use technologies like cookies and pixel tags to provide, improve, protect, and promote our Services.","The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",https://www.dropbox.com/privacy,True,50.0,bad,"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users."
https://www.dropbox.com,97.0,,11692,,Terms,"If our systems receive a DNT:1 signal from your browser, well respond to that signal as outlined here",This service respects your browser's Do Not Track (DNT) headers,https://www.dropbox.com/privacy,True,30.0,good,This service respects your browser's Do Not Track (DNT) headers
https://www.dropbox.com,97.0,,11699,,Privacy Policy,"You can set your browser to not accept cookies, but this may limit your ability to use the Services.",Blocking first party cookies may limit your ability to use the service,https://www.dropbox.com/privacy,True,50.0,neutral,Blocking first party cookies may limit your ability to use the service
https://www.adobe.com,85.0,,9533,,Terms of Use,"Published March 16, 2020",There is a date of the last update of the terms,,True,50.0,neutral,There is a date of the last update of the terms
https://www.adobe.com,85.0,,9535,,Terms of Use,We will respond to clear notices of copyright infringement consistent with the Digital Millennium Copyright Act (DMCA),"If you are the target of a copyright claim, your content may be removed",,True,15.0,neutral,"If you are the target of a copyright claim, your content may be removed"
https://www.adobe.com,85.0,,9538,,Terms of Use,"If you reside in North America (inclusive of United States, Canada, Mexico, United States territories and possessions, and United States military bases wherever located), your relationship is with Adobe Inc., a United States company, and the Terms are governed by the law of California, U.S.A.",The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,,True,50.0,good,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.
https://www.adobe.com,85.0,,10065,,Privacy Policy,"When you register to use an Adobe app or website, create an Adobe ID, or contact us for support or other offerings, Adobe collects information that identifies you.This includes:&nbsp;Name;Date of birth;Company name;Email address;Telephone number;Address;Country;IP address;Mobile Device ID;Payment/billing information (where an app or website is 'paid for');Eligibility information (e.g., for student and teacher editions of apps);Types of apps and websites of interest.andContent of customer support communications.",The service collects many different types of personal data,,True,70.0,bad,The service collects many different types of personal data
https://www.adobe.com,85.0,,10066,,Privacy Policy,"we may combine information provided by you with information from third party sources, in accordance with applicable law.For example, the size, industry, and other information about the company you work for (where you have provided company name) will be obtained from sources including, professional networking sites and information service providers.",This service gathers information about you through third parties,,True,50.0,bad,This service gathers information about you through third parties
https://www.adobe.com,85.0,,11267,,Terms of Use,"You must be 13 or older to register for an individual Adobe ID.Schools that participate in the primary and secondary education named user offering may issue a child under 13 an enterprise-level Adobe ID, consistent with the&nbsp;Primary and Secondary Education Additional Terms.&nbsp;1.Your Agreement with Adobe.&nbsp;1.1&nbsp;Choice of Law and Contracting Entity.",This service is only available to users over a certain age,,True,15.0,neutral,This service is only available to users over a certain age
https://www.adobe.com,85.0,,11291,,Privacy Policy,"We transfer your personal information to the US and other countries, which may be outside the country in which you live.",Your data may be processed and stored anywhere in the world,,True,25.0,bad,Your data may be processed and stored anywhere in the world
https://www.adobe.com,85.0,,11292,,Privacy Policy,"Emails we send you may include a technology (called a web beacon) that tells Adobe whether you have received or opened the email, or clicked a link in the email.","The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",,True,50.0,bad,"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users."
https://www.adobe.com,85.0,,11293,,Privacy Policy,We also disclose personal information to other companies in the Adobe family and with advertising and sales partners consistent with your choices.,The service uses your personal data to employ targeted third-party advertising,,True,40.0,bad,The service uses your personal data to employ targeted third-party advertising
https://www.adobe.com,85.0,,11295,,Terms of Use,"You may use and access the Services or Software at your own discretion and risk, and you are solely responsible for any damage to your computer system or loss of data that results from the use of and access to any Service or Software",This service assumes no liability for any losses or damages resulting from any matter relating to the service,,True,50.0,bad,This service assumes no liability for any losses or damages resulting from any matter relating to the service
https://www.adobe.com,85.0,,11296,,Privacy Policy,"We encourage you to periodically review the Adobe Privacy Center for the latest information on our privacy practices.Under certain circumstances (for example with certain material changes) we will provide notice to you of these changes and, where required by applicable law, we will obtain your consent.","Users should revisit the terms periodically, although in case of material changes, the service will notify",,True,50.0,neutral,"Users should revisit the terms periodically, although in case of material changes, the service will notify"
https://www.adobe.com,85.0,,11693,,Privacy Policy,"We will also share your personal information with other third-party data controllers.The types of third parties your information may be shared with include: our resellers and other sales and advertising partners, retailers, research organizations, advertisers, ad agencies, advertising networks and platforms, information service providers, fraud monitoring and prevention providers, publishers, and non-profit organizations (with your consent, if required).Third-party data controllers may also use Adobe products and services to collect and process your personal information.If you are using an email address that is associated with a business domain (e.g., yourname@businessname.com) to access Adobe's apps and websites, or if you were invited to use the apps and websites by a business, we may provide your personal information to that business",Your personal data is given to third parties,,True,10.0,bad,Your personal data is given to third parties
https://www.facebook.com,3.0,E,627,,Cookie Policy,"We use cookies if you have a Facebook account, use the Facebook Products, including our website and apps, or visit other websites and apps that use the Facebook Products (including the Like button or other Facebook Technologies).",Facebook uses cookies,,True,10.0,neutral,This service requires first-party cookies
https://www.facebook.com,3.0,E,743,,What information does Facebook get when I visit a site with the Like button?,"For example, when you go to a website with a Like button, we need to know who you are in order to show you what your Facebook friends have liked on that site.The data we receive includes your user ID, the website you're visiting, the date and time and other browser-related info.If youre logged out or dont have a Facebook account and visit a website with the Like button or another social plugin, your browser sends us a more limited set of info.For example, because youre not logged into Facebook, youll have fewer cookies than someone who's logged in.Like other sites on the Internet, we receive info about the web page you're visiting, the date and time and other browser-related info.We record this info to help us improve our products.As our Data Policy indicates, we use cookies to show you ads on and off Facebook.We may also use the info we receive when you visit a site with social plugins to help us show you more interesting and useful ads.",This service tracks you on other websites,,True,60.0,bad,This service tracks you on other websites
https://www.facebook.com,3.0,E,751,,Data Policy,"Sharing with Third-Party Partners We work with third-party partners who help us provide and improve our Products or who use Facebook Business Tools to grow their businesses, which makes it possible to operate our companies and provide free services to people around the world.We don't sell any of your information to anyone, and we never will.We also impose strict restrictions on how our partners can use and disclose the data we provide.Here are the types of third parties we share information with: Partners who use our analytics services.We provide aggregated statistics and insights that help people and businesses understand how people are engaging with their posts, listings, Pages, videos and other content on and off the Facebook Products.For example, Page admins and Instagram business profiles receive information about the number of people or accounts who viewed, reacted to, or commented on their posts, as well as aggregate demographic and other information that helps them understand interactions with their Page or account.Advertisers.We provide advertisers with reports about the kinds of people seeing their ads and how their ads are performing, but we don't share information that personally identifies you (information such as your name or email address that by itself can be used to contact you or identifies who you are) unless you give us permission.For example, we provide general demographic and interest information to advertisers (for example, that an ad was seen by a woman between the ages of 25 and 34 who lives in Madrid and likes software engineering) to help them better understand their audience.We also confirm which Facebook ads led you to make a purchase or take an action with an advertiser.Measurement partners.We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.Partners offering goods and services in our Products.When you subscribe to receive premium content, or buy something from a seller in our Products, the content creator or seller can receive your public information and other information you share with them, as well as the information needed to complete the transaction, including shipping and contact details.Vendors and service providers.We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.Researchers and academics.We also provide information and content to research partners and academics to conduct research that advances scholarship and innovation that support our business or mission, and enhances discovery and innovation on topics of general social welfare, technological advancement, public interest, health and well-being.Law enforcement or legal requests.We share information with law enforcement or in response to legal requests in the circumstances outlined below.Learn more about how you can control the information about you that you or others share with third-party partners in the Facebook Settings and Instagram Settings.",personal data is given to third parties,,True,10.0,bad,Your personal data is given to third parties
https://www.facebook.com,3.0,E,984,,Data Policy,"Product research and development: We use the information we have to develop, test and improve our Products, including by conducting surveys and research, and testing and troubleshooting new products and features.",Facebook uses your data for many purposes,https://www.facebook.com/policy.php,True,40.0,bad,This service uses your personal information for many different purposes
https://www.facebook.com,3.0,E,997,,Terms of Service,"When people stand behind their opinions and actions, our community is safer and more accountable.For this reason, you must: Use the same name that you use in everyday life.Provide accurate information about yourself.Create only one account (your own) and use your timeline for personal purposes.</li","Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.","{'faq': 'https://www.facebook.com/help/?faq=167904716602259', 'terms': 'https://www.facebook.com/full_data_use_policy#inforeceived'}",True,10.0,neutral,"Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service."
https://www.facebook.com,3.0,E,1059,,Data Policy,"information you allow us to receive through device settings you turn on, such as access to your GPS location, camera or photos.",App required for this service requires broad device permissions,,True,80.0,bad,App required for this service requires broad device permissions
https://www.facebook.com,3.0,E,4356,,Terms of Service.txt,"In addition, content you delete may continue to appear if you have shared it with others and they have not deleted it.",deleted content is not really deleted,,True,30.0,blocker,This service holds onto content that you've deleted
https://www.facebook.com,3.0,E,4598,,Terms of Service," You give us permission to use your name and profile picture and information about actions you have taken on Facebook next to or in connection with ads, offers, and other sponsored content that we display across our Products, without any compensation to you.",Your identity is used in ads that are shown to other users,,True,90.0,blocker,Your identity is used in ads that are shown to other users
https://www.facebook.com,3.0,E,9462,,Terms of Service,You are under 13 years old.,This service is only available to users of a certain age,,True,15.0,neutral,This service is only available to users over a certain age
https://www.facebook.com,3.0,E,9465,,Terms of Service,"If we fail to enforce any of these Terms, it will not be considered a waiver.",Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,,True,10.0,neutral,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision
https://www.facebook.com,3.0,E,9504,,Terms of Service,You may not access or collect data from our Products using automated means (without our prior permission),Spidering or crawling is not allowed,,True,10.0,neutral,Spidering or crawling is not allowed
https://www.facebook.com,3.0,E,10493,,Cookie Policy,"Facebook uses cookies and receives information when you visit those sites and apps, including device information and information about your activity, without any further action from you.This occurs whether or not you have a Facebook account or are logged in.</",Facebook stores your data whether you have an account or not.,,True,100.0,blocker,They store data on you even if you did not interact with the service
https://www.facebook.com,3.0,E,10686,,Data Policy,"This can include information in or about the content you provide (like metadata), such as the location of a photo or the date a file was created.","This service may collect, use, and share location data",https://www.facebook.com/policy.php,True,75.0,bad,"This service may collect, use, and share location data"
https://www.facebook.com,3.0,E,10687,,Data Policy,Our systems automatically process content and communications you and others provide to analyze context and what's in them for the purposes described below.,The service can read your private messages,https://www.facebook.com/policy.php,True,70.0,bad,The service can read your private messages
https://www.facebook.com,3.0,E,10688,,Data Policy,"We collect information about the people, Pages, accounts, hashtags and groups you are connected to and how you interact with them across our Products, such as people you communicate with the most or groups you are part of.We also collect contact information if you choose to upload, sync or import it from a device (such as an address book or call log or SMS log history), which we use for things like helping you and others find people you may know and for the other purposes listed below.Your usage. We collect information about how you use our Products, such as the types of content you view or engage with.the features you use.the actions you take.the people or accounts you interact with.and the time, frequency and duration of your activities.",The service collects many different types of personal data,https://www.facebook.com/policy.php,True,70.0,bad,The service collects many different types of personal data
https://www.facebook.com,3.0,E,10689,,Data Policy,"Information from partners.Advertisers, app developers, and publishers can send us information through Facebook Business Tools they use, including our social plug-ins (such as the Like button), Facebook Login, our APIs and SDKs, or the Facebook pixel.These partners provide information about your activities off Facebookincluding information about your device, websites you visit, purchases you make, the ads you see, and how you use their serviceswhether or not you have a Facebook account or are logged into Facebook.","The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",,True,50.0,bad,"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users."
https://www.facebook.com,3.0,E,10690,,Data Policy,We also receive information about your online and offline actions and purchases from third-party data providers who have the rights to provide us with your information.,This service gathers information about you through third parties,,True,50.0,bad,This service gathers information about you through third parties
https://www.facebook.com,3.0,E,10691,,Data Policy,"We require each of these partners to have lawful rights to collect, use and share your data before providing any data to us.",The service will not allow third parties to access your personal information without a legal basis,,True,50.0,good,The service will not allow third parties to access your personal information without a legal basis
https://www.facebook.com,3.0,E,10692,,Data Policy,"We use the information we have about you-including information about your interests, actions and connections-to select and personalize ads, offers and other sponsored content that we show you.",This service may use your personal information for marketing purposes,,True,50.0,bad,This service may use your personal information for marketing purposes
https://www.facebook.com,3.0,E,10693,,Data Policy,How do we use this information? We use the information we have (subject to choices you make) as described below and to provide and support the Facebook Products and related services described in the Facebook Terms and Instagram Terms.,The service provides information about how they intend to use your personal data,,True,30.0,good,The service provides information about how they intend to use your personal data
