policy_uid,annotation_id,segment_id,annotator_id,pretty_print_string
186,285,6,84,The site collects your financial information for an unspecified purpose. Collection happens when you explicitly provide information in the mobile app.
186,286,6,84,The site collects your location information for an unspecified purpose. Collection happens when you explicitly provide information in the mobile app.
186,287,6,84,The site collects your location information for an unspecified purpose. Collection happens when you explicitly provide information on the website.
186,288,6,84,The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information on the website.
186,289,6,84,The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information in the mobile app.
186,628,6,82,The site collects your location information for a basic service or feature. Collection happens when you explicitly provide information on the website.
186,629,6,82,The site collects your location information for a basic service or feature. Collection happens when you explicitly provide information in the mobile app.
186,630,6,82,The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website.
186,631,6,82,The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in the mobile app.
186,632,6,82,The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website.
186,633,6,82,The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information in the mobile app.
186,1442,6,88,"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable."
186,1444,6,88,"The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable."
186,1448,6,88,"The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information in the mobile app, and your data is identifiable."
186,290,7,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,291,7,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information in the mobile app.
186,634,7,82,The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website.
186,635,7,82,The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in the mobile app.
186,1458,7,88,The site collects your website activities for an unspecified purpose. Collection happens when you explicitly provide information on the website.
186,1459,7,88,The site collects your website activities for an unspecified purpose. Collection happens when you explicitly provide information in the mobile app.
186,292,8,84,The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.
186,636,8,82,The site collects your user profile for an additional (non-basic) service or feature. Collection happens in an unspecified way.
186,1461,8,88,The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,295,9,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information on the website for users with accounts.
186,296,9,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information in the mobile app for users with accounts.
186,297,9,84,The site collects your social media data for an unspecified purpose. Collection happens when you implicitly provide information on the website for users with accounts.
186,298,9,84,The site collects your social media data for an unspecified purpose. Collection happens when you implicitly provide information in the mobile app for users with accounts.
186,637,9,82,The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website.
186,638,9,82,The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information in the mobile app.
186,639,9,82,The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens by an unnamed service or third party.
186,640,9,82,The site collects your social media data for an unspecified purpose. Collection happens by an unnamed service or third party for users with accounts.
186,1462,9,88,The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website.
186,1463,9,88,The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information in the mobile app.
186,1464,9,88,The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information by other websites.
186,1465,9,88,The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information by other websites for users with accounts.
186,299,10,84,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,300,10,84,The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,641,10,82,The site collects your location information for an unspecified purpose. Collection happens in the mobile app.
186,642,10,82,The site collects your location information for an unspecified purpose. Collection happens on the website.
186,643,10,82,The site collects your location information for an unspecified purpose. Collection happens on the mobile website.
186,644,10,82,The site collects your IP address or device IDs for an unspecified purpose. Collection happens in the mobile app.
186,645,10,82,The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the website.
186,646,10,82,The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the mobile website.
186,1466,10,88,The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,1468,10,88,The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information in the mobile app.
186,1469,10,88,The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information in the mobile app.
186,1470,10,88,The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,301,11,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,302,11,84,The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,303,11,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information on other websites.
186,304,11,84,The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on other websites.
186,649,11,82,The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the website.
186,650,11,82,The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the mobile website.
186,651,11,82,The site collects your IP address or device IDs for an unspecified purpose. Collection happens by an unnamed service or third party.
186,1474,11,88,The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,1475,11,88,The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,1482,11,88,The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information by other websites.
186,1484,11,88,The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information by some means outside of our label scheme.
186,305,12,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,306,12,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information in the mobile app.
186,307,12,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information by other websites.
186,693,12,82,The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.
186,694,12,82,The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.
186,695,12,82,The site collects your unspecified information for a purpose outside of our label scheme. Collection happens when you explicitly provide information in an unspecified way.
186,696,12,82,The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information by other websites.
186,697,12,82,An unnamed third party does do something outside of our label scheme with your unspecified personal information for an unspecified purpose.
186,1590,12,88,The text describes a specific data practice that is not covered by our label scheme.
186,1593,12,88,The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website.
186,1597,12,88,The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on the website.
186,1601,12,88,An unnamed third party does collect on the first party website or app unspecified information about you for an unspecified purpose.
186,308,13,84,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website. You can configure your privacy with third-party user settings.
186,309,13,84,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information in the mobile app. You can configure your privacy with third-party user settings.
186,310,13,84,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information by other websites. You can configure your privacy with third-party user settings.
186,356,13,84,Do Not Track headers are mentioned but it is unclear if the company adheres to the user's Do Not Track preference.
186,698,13,82,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens on the website. You can configure your privacy with user settings provided by the site.
186,699,13,82,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens in the mobile app. You can configure your privacy with user settings provided by the site.
186,700,13,82,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens by other websites. You can configure your privacy with user settings provided by the site.
186,1485,13,88,Do Not Track headers are mentioned but it is unclear if the company adheres to the user's Do Not Track preference.
186,1497,13,88,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website. You can configure your privacy with third-party user settings.
186,1498,13,88,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information in the mobile app. You can configure your privacy with third-party user settings.
186,1500,13,88,The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information by other websites. You can configure your privacy with third-party user settings.
186,312,14,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information by an unnamed service or third party.
186,313,14,84,The site collects your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party.
186,701,14,82,The site collects your generic personal information for an unspecified purpose. Collection happens by an unnamed service or third party.
186,1504,14,88,The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party.
186,1505,14,88,The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party. You can opt in for data collection.
186,314,15,84,The site collects your generic personal information for a basic service or feature. Collection happens when you implicitly provide information in an unspecified way.
186,315,15,84,The site collects your generic personal information for marketing purposes. Collection happens when you implicitly provide information in an unspecified way.
186,316,15,84,The site collects your generic personal information for service operations or security. Collection happens when you implicitly provide information in an unspecified way.
186,317,15,84,The site collects your generic personal information for personalization or customization. Collection happens when you implicitly provide information in an unspecified way.
186,318,15,84,The site collects your generic personal information for advertising. Collection happens when you implicitly provide information in an unspecified way.
186,319,15,84,The site collects your generic personal information for legal requirements. Collection happens when you implicitly provide information in an unspecified way.
186,703,15,82,An unnamed third party does receive your unspecified personal information for a basic service or feature.
186,704,15,82,An unnamed third party does receive your unspecified personal information for marketing purposes.
186,705,15,82,An unnamed third party does receive your unspecified personal information for analytics or research.
186,706,15,82,An unnamed third party does receive your unspecified personal information for service operations or security.
186,707,15,82,An unnamed third party does receive your unspecified personal information for targeted advertising.
186,708,15,82,An unnamed third party does receive your unspecified personal information for personalization or customization.
186,709,15,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,1515,15,88,The site collects your unspecified information for a basic service or feature. Collection happens by other parts of the company or affiliates.
186,1516,15,88,The site collects your unspecified information for a basic service or feature. Collection happens on the website.
186,1523,15,88,"When a change of an unspecified nature is made to the privacy policy, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear."
186,1530,15,88,"The site collects your contact information for marketing purposes. Collection happens by other parts of the company or affiliates, and your data is identifiable."
186,1533,15,88,"The site collects your contact information for marketing purposes. Collection happens on the website, and your data is identifiable."
186,1542,15,88,"The site collects your unspecified information for personalization or customization. Collection happens by other websites, and your data is identifiable."
186,1544,15,88,"The site collects your unspecified information for personalization or customization. Collection happens on the website, and your data is identifiable."
186,320,16,84,An unnamed third party does not receive your unspecified personal information for an unspecified purpose.
186,326,16,84,An unnamed third party does receive your unspecified personal information for an unspecified purpose. You can opt in for data collection.
186,327,16,84,An unnamed third party does receive your unspecified personal information for targeted advertising.
186,328,16,84,A named third party does receive your unspecified personal information for an unspecified purpose.
186,710,16,82,Another part of the company or institution does receive your unspecified personal information for an unspecified purpose.
186,711,16,82,An unnamed third party does receive your unspecified personal information for an unspecified purpose. You can opt in for data collection.
186,712,16,82,An unnamed third party does not receive your unspecified personal information for an unspecified purpose.
186,1609,16,88,An unnamed third party does receive your unspecified personal information for marketing purposes. The data is personally identifiable. You can opt in for data collection.
186,1610,16,88,An unnamed third party does receive your unspecified personal information for an additional (non-basic) service or feature. The data is personally identifiable. You can opt in for data collection.
186,329,17,84,A named third party does receive your unspecified personal information for marketing purposes.
186,330,17,84,Another part of the company or institution does receive your unspecified personal information for a basic service or feature.
186,331,17,84,An unnamed third party does receive your unspecified personal information for service operations or security.
186,332,17,84,An unnamed third party does receive your unspecified personal information for legal requirements.
186,333,17,84,An unnamed third party does receive your unspecified personal information for mergers or acquisitions.
186,724,17,82,An unnamed third party does receive your unspecified personal information for mergers or acquisitions.
186,725,17,82,An unnamed third party does receive your unspecified personal information for service operations or security.
186,726,17,82,An unnamed third party does receive your unspecified personal information for legal requirements.
186,728,17,82,An unnamed third party does receive your unspecified personal information for marketing purposes.
186,729,17,82,An unnamed third party does receive your unspecified personal information for a basic service or feature. You can make a choice about the use of your information.
186,1613,17,88,The text describes a specific data practice that is not covered by our label scheme.
186,1617,17,88,An unnamed third party does receive your financial information for an additional (non-basic) service or feature. The data is personally identifiable. You can opt in for data collection.
186,1618,17,88,An unnamed third party does receive unspecified information about you for a basic service or feature.
186,1621,17,88,An unnamed third party does receive your unspecified personal information for mergers or acquisitions. The data is personally identifiable.
186,1624,17,88,An unnamed third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.
186,334,18,84,"Users with accounts can edit their information, within the scope of information explicitly provided by the user."
186,335,18,84,"Users with accounts can delete their account (with the company or organization removing all data), within the scope of information explicitly provided by the user."
186,338,18,84,"A user can edit their information, within the scope of information the company has learned about the user."
186,339,18,84,"A user can view their information, within the scope of information the company has learned about the user."
186,340,18,84,"A user can delete their account (with the company or organization removing all data), within the scope of information the company has learned about the user."
186,713,18,82,"Users with accounts can edit their information, within the scope of information explicitly provided by the user."
186,714,18,82,"Users with accounts can delete their account (with the company or organization removing all data), within the scope of information explicitly provided by the user."
186,719,18,82,You can make no specified choices about the use of unspecified information by an unspecified party for advertising.
186,720,18,82,You can make no specified choices about the use of unspecified information by an unspecified party for analytics or research.
186,721,18,82,You can make no specified choices about the use of unspecified information by an unspecified party for marketing purposes.
186,722,18,82,"A user can edit their information, within the scope of information explicitly provided by the user."
186,723,18,82,"A user can access, edit, or delete personal information in a manner not covered by our label scheme, within the scope of information the company has learned about the user."
186,1634,18,88,"Users with accounts can edit their information, within the scope of unspecified user information."
186,1635,18,88,"Users with accounts can access, edit, or delete personal information in a manner not covered by our label scheme, within the scope of unspecified user information."
186,1638,18,88,"A user can edit their information, within the scope of information the company has learned about the user."
186,1640,18,88,You can make no specified choices about the use of unspecified information by an unspecified party for marketing purposes.
186,1644,18,88,You can use third party privacy settings to control the use of unspecified information by an unspecified party for advertising.
186,1651,18,88,You can opt out (by contacting the company) from the use of generic personal information by an unspecified party for an unspecified purpose.
186,341,19,84,"A user can view their information, within the scope of unspecified user information."
186,342,19,84,"You can choose not to use a service or feature to avoid the use of generic personal information by the site, which collects it for an unspecified purpose."
186,343,19,84,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,715,19,82,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,716,19,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,718,19,82,The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way. You can choose not to use the service or feature for the collection of your information.
186,1687,19,88,You can opt out (by contacting the company) from the use of generic personal information by an unspecified party for an unspecified purpose.
186,344,20,84,The policy makes a statement about how data from children is treated.
186,652,20,82,The policy makes a statement about how data from children is treated.
186,730,20,82,The site collects your generic personal information for an unspecified purpose. Collection happens on the website.
186,731,20,82,The site collects your generic personal information for an unspecified purpose. Collection happens in the mobile app.
186,1550,20,88,The policy makes a statement about how data from children is treated.
186,345,21,84,The policy makes a statement about how data from children is treated.
186,653,21,82,The policy makes a statement about how data from children is treated.
186,732,21,82,The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way.
186,733,21,82,An unnamed third party does receive your unspecified personal information for an unspecified purpose.
186,346,22,84,The policy makes a statement about how data from children is treated.
186,654,22,82,The policy makes a statement about how data from children is treated.
186,1555,22,88,The policy makes a statement about how data from children is treated.
186,347,23,84,The policy makes a statement about how data from children is treated.
186,655,23,82,The policy makes a statement about how data from children is treated.
186,737,23,82,The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way.
186,1556,23,88,The policy makes a statement about how data from children is treated.
186,348,24,84,The policy makes a statement about how data from children is treated.
186,656,24,82,The policy makes a statement about how data from children is treated.
186,738,24,82,"A user can view their information, within the scope of unspecified user information."
186,739,24,82,"A user can edit their information, within the scope of unspecified user information."
186,740,24,82,"A user can delete their account (with the company or organization removing all data), within the scope of unspecified user information."
186,1557,24,88,The policy makes a statement about how data from children is treated.
186,1560,24,88,"A user can edit their information, within the scope of unspecified user information."
186,349,25,84,The policy makes a statement about how data from children is treated.
186,657,25,82,The policy makes a statement about how data from children is treated.
186,1562,25,88,The policy makes a statement about how data from children is treated.
186,350,26,84,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
186,351,26,84,"A user's generic personal information is retained for a limited (but unspecified) period of time to perform a requested service, and then it is deleted.."
186,658,26,82,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
186,659,26,82,"A user's generic personal information is retained for a limited (but unspecified) period of time to meet legal or law enforcement requirements, and then it is deleted.."
186,660,26,82,"A user's generic personal information is retained for a limited (but unspecified) period of time to perform a requested service, and then it is deleted.."
186,1563,26,88,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
186,1567,26,88,A user's generic personal information is retained for a duration not covered by our label scheme to fulfill a purpose not covered by our label scheme.
186,1706,26,88,A user's generic personal information is retained for an unspecified duration to fulfill an unspecified purpose.
186,352,27,84,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
186,353,27,84,"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions)."
186,354,27,84,"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer)."
186,661,27,82,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
186,662,27,82,"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions)."
186,663,27,82,"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer)."
186,1707,27,88,"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions)."
186,1708,27,88,"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer)."
186,1709,27,88,"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS."
186,1711,27,88,"Data is stored securely, e.g. in an encrypted format or database."
186,355,28,84,"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear."
186,664,28,82,"When a change is made to the privacy policy that significantly affects data practices, users are notified in an unspecified manner. Users have a choice not covered by our label scheme."
186,1715,28,88,"When a change of an unspecified nature is made to the privacy policy, users are notified in an unspecified manner. Users must agree before their data is treated according to the new privacy policy."
186,357,29,84,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,665,29,82,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,1712,29,88,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,1713,29,88,The text describes a specific data practice that is not covered by our label scheme.
186,358,30,84,"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights)."
186,666,30,82,"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights)."
186,741,30,82,The policy makes a statement about how data from children is treated.
186,742,30,82,"A user can delete their account (although the company or organization may continue to keep some data), within the scope of unspecified user information."
186,1689,30,88,"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights)."
186,367,31,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,670,31,82,The text does not fit into our label scheme.
186,368,32,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,671,32,82,The text does not fit into our label scheme.
186,369,33,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,370,34,84,The policy makes a statement about how data from children is treated.
186,667,34,82,The policy makes a statement about how data from children is treated.
186,743,34,82,The text does not fit into our label scheme.
186,1703,34,88,The policy makes a statement about how data from children is treated.
186,363,35,84,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,668,35,82,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,1718,35,88,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,371,36,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,672,36,82,The text does not fit into our label scheme.
186,372,37,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,673,37,82,The text does not fit into our label scheme.
186,674,37,82,The site collects your IP address or device IDs for analytics or research. Collection happens on the website.
186,675,37,82,The site collects your IP address or device IDs for analytics or research. Collection happens in the mobile app.
186,1702,37,88,The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information on the website.
186,373,38,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,676,38,82,The text does not fit into our label scheme.
186,374,39,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,677,39,82,"When a change of an unspecified nature is made to the privacy policy, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear."
186,678,39,82,"When a change of an unspecified nature is made to the privacy policy, users are notified when visiting the website. Users' choices regarding policy changes are not mentioned or are unclear."
186,679,39,82,"When a change of an unspecified nature is made to the privacy policy, users are notified in a manner outside of our label scheme. Users' choices regarding policy changes are not mentioned or are unclear."
186,375,40,84,The policy makes a statement about data from a demographic outside of our label scheme.
186,680,40,82,The text does not fit into our label scheme.
186,376,41,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,681,41,82,The text does not fit into our label scheme.
186,377,42,84,"A user can delete their account (with the company or organization removing all data), within the scope of information the company has learned about the user."
186,744,42,82,"A user can access, edit, or delete personal information in a manner not covered by our label scheme, within the scope of unspecified user information."
186,745,42,82,The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.
186,746,42,82,An unnamed third party does see your unspecified personal information for an additional (non-basic) service or feature.
186,747,42,82,The public does see your unspecified personal information for an additional (non-basic) service or feature.
186,378,43,84,The text does not fit into our label scheme.
186,682,43,82,The text does not fit into our label scheme.
186,379,44,84,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,683,44,82,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,1690,44,88,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,380,45,84,The policy makes a statement about how data from children is treated.
186,684,45,82,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,685,45,82,The policy makes a statement about how data from children is treated.
186,1691,45,88,"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy."
186,1698,45,88,The policy makes a statement about how data from children is treated.
186,381,46,84,"The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees."
186,689,46,82,The text describes a specific data practice that is not covered by our label scheme.
571,13372,0,121,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
571,13373,1,121,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
571,13374,1,121,You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for an unspecified purpose.
571,13375,2,121,The site collects an information type outside of our label scheme for a basic service or feature. Collection happens in an unspecified way.
571,13376,2,121,The site collects your contact information for a basic service or feature. Collection happens in an unspecified way.
571,13378,2,121,The site collects your financial information for a basic service or feature. Collection happens in an unspecified way.
571,13379,3,121,The site collects your computer information for analytics or research. Collection happens when you implicitly provide information in an unspecified way.
571,13380,3,121,The site collects your computer information for service operations or security. Collection happens when you implicitly provide information in an unspecified way.
571,13381,3,121,The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information in an unspecified way.
571,13382,3,121,The site collects your IP address or device IDs for service operations or security. Collection happens when you implicitly provide information in an unspecified way.
571,13383,3,121,The site collects your website activities for service operations or security. Collection happens when you implicitly provide information in an unspecified way.
571,13384,3,121,The site collects your website activities for analytics or research. Collection happens when you implicitly provide information in an unspecified way.
571,13385,4,121,"You can opt in for the use of generic personal information by a third party, which collects or receives it for an unspecified purpose."
571,13386,5,121,The text does not fit into our label scheme.
571,13387,6,121,The site collects your unspecified information for a basic service or feature. Collection happens by some means outside of our label scheme.
571,13388,7,121,"A user can access, edit, or delete personal information in a manner not covered by our label scheme, within the scope of unspecified user information."
571,13389,8,121,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
571,13390,8,121,Data is accessible to employees/third parties on a need-to-know basis.
571,13391,8,121,"Data is stored securely, e.g. in an encrypted format or database."
571,13392,8,121,"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS."
571,13393,9,121,The policy makes a statement about how data from children is treated.
571,13394,10,121,The site collects your cookies or tracking elements for service operations or security. Collection happens on the website. You can configure your privacy with browser settings for the collection of your information.
571,13395,10,121,The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website. You can configure your privacy with browser settings for the collection of your information.
571,13396,11,121,You can opt out (via a link) from the use of contact information by an unspecified party for marketing purposes.
